## Execution counts

<details>
<summary> execution counts for all instructions </summary>

|Name | Count | Self | Cumulative | Miss ratio | 
| FOR_ITER_GEN | 169,561,949 | 0.1% | 96.0% | 0.0% |
| BINARY_SUBSCR_TUPLE_INT | 160,184,469 | 0.1% | 96.2% |  |
| EXTENDED_ARG | 155,126,653 | 0.1% | 96.3% |  |
| CALL_FUNCTION_EX | 152,706,411 | 0.1% | 96.4% |  |
| TO_BOOL_ALWAYS_TRUE | 152,067,005 | 0.1% | 96.6% | 17.8% |
| CALL_INTRINSIC_1 | 143,106,740 | 0.1% | 96.7% |  |
| SEND | 141,918,745 | 0.1% | 96.8% |  |
| LOAD_ATTR_CLASS | 136,338,669 | 0.1% | 96.9% | 0.5% |
| BINARY_OP_MULTIPLY_INT | 132,340,110 | 0.1% | 97.0% | 6.4% |
| LOAD_ATTR_NONDESCRIPTOR_WITH_VALUES | 128,703,319 | 0.1% | 97.2% | 40.4% |
| JUMP_BACKWARD | 126,001,061 | 0.1% | 97.3% |  |
| BINARY_OP_ADD_FLOAT | 122,849,048 | 0.1% | 97.4% | 4.9% |
| CALL_BOUND_METHOD_EXACT_ARGS | 120,982,792 | 0.1% | 97.5% | 10.3% |
| CALL_BUILTIN_CLASS | 117,627,432 | 0.1% | 97.6% | 0.0% |
| STORE_SUBSCR | 114,212,253 | 0.1% | 97.7% |  |
| BINARY_SUBSCR_GETITEM | 108,840,557 | 0.1% | 97.8% | 0.0% |
| TO_BOOL_LIST | 104,995,712 | 0.1% | 97.9% | 1.0% |
| TO_BOOL_INT | 97,488,281 | 0.1% | 98.0% | 0.9% |
| STORE_DEREF | 91,288,761 | 0.1% | 98.0% |  |
| BINARY_OP_SUBTRACT_FLOAT | 87,283,790 | 0.1% | 98.1% | 17.3% |
| COMPARE_OP | 84,712,759 | 0.1% | 98.2% |  |
| CALL_BUILTIN_FAST_WITH_KEYWORDS | 83,274,989 | 0.1% | 98.3% | 0.0% |
| FOR_ITER_RANGE | 82,748,861 | 0.1% | 98.3% | 0.0% |
| DELETE_SUBSCR | 80,852,669 | 0.1% | 98.4% |  |
| CALL_ALLOC_AND_ENTER_INIT | 80,837,988 | 0.1% | 98.5% | 2.1% |
| FORMAT_SIMPLE | 79,500,934 | 0.1% | 98.5% |  |
| EXIT_INIT_CHECK | 79,131,368 | 0.1% | 98.6% |  |
| BUILD_MAP | 75,503,051 | 0.1% | 98.7% |  |
| BINARY_OP_ADD_UNICODE | 74,410,721 | 0.1% | 98.7% |  |
| LOAD_SUPER_ATTR_METHOD | 72,733,950 | 0.1% | 98.8% |  |
| MAKE_CELL | 72,432,776 | 0.1% | 98.9% |  |
| MAKE_FUNCTION | 71,843,766 | 0.1% | 98.9% |  |
| CONVERT_VALUE | 68,980,207 | 0.1% | 99.0% |  |
| SET_FUNCTION_ATTRIBUTE | 67,366,479 | 0.1% | 99.0% |  |
| LOAD_ATTR_METHOD_LAZY_DICT | 66,309,116 | 0.1% | 99.1% | 0.0% |
| STORE_ATTR | 62,441,598 | 0.1% | 99.2% |  |
| FOR_ITER | 61,763,839 | 0.1% | 99.2% |  |
| STORE_SUBSCR_LIST_INT | 58,328,426 | 0.1% | 99.3% | 0.0% |
| END_FOR | 57,133,127 | 0.0% | 99.3% |  |
| TO_BOOL_STR | 56,832,184 | 0.0% | 99.4% | 4.2% |
| LIST_EXTEND | 49,900,882 | 0.0% | 99.4% |  |
| LIST_APPEND | 49,056,388 | 0.0% | 99.5% |  |
| STORE_ATTR_WITH_HINT | 41,700,470 | 0.0% | 99.5% | 0.1% |
| BUILD_STRING | 39,526,718 | 0.0% | 99.5% |  |
| LOAD_ATTR_PROPERTY | 37,626,927 | 0.0% | 99.6% | 10.9% |
| CALL_STR_1 | 32,116,483 | 0.0% | 99.6% |  |
| UNARY_NOT | 30,643,657 | 0.0% | 99.6% |  |
