## Execution counts

<details>
<summary> execution counts for all instructions </summary>

|Name | Count | Self | Cumulative | Miss ratio | 
| LOAD_ATTR_INSTANCE_VALUE | 47,738,689 | 10.3% |
| CALL_BUILTIN_CLASS | 44,656,050 | 9.6% |
| RETURN_GENERATOR | 37,762,501 | 8.1% |
| RETURN_VALUE | 36,855,011 | 7.9% |

|Successors | Count | Percentage | 
|---|---:|---:|
| FOR_ITER_LIST | 148,425,357 | 32.0% |
| FOR_ITER_TUPLE | 109,335,241 | 23.6% |
| CALL_PY_EXACT_ARGS | 60,638,463 | 13.1% |
| FOR_ITER_GEN | 56,752,920 | 12.2% |
| FOR_ITER | 49,596,515 | 10.7% |


</details>

### INTERPRETER_EXIT

<details>
<summary> Successors and predecessors for INTERPRETER_EXIT </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| RETURN_VALUE | 594,815,160 | 36.3% |
| RETURN_CONST | 526,548,128 | 32.2% |
| YIELD_VALUE | 475,020,256 | 29.0% |
| RETURN_GENERATOR | 40,559,025 | 2.5% |
| INSTRUMENTED_RETURN_VALUE | 240 | 0.0% |


</details>

### NOP

<details>
<summary> Successors and predecessors for NOP </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| RESUME_CHECK | 298,922,474 | 39.9% |
| STORE_FAST | 151,566,041 | 20.2% |
| POP_JUMP_IF_FALSE | 120,374,218 | 16.1% |
| NOP | 48,836,387 | 6.5% |
| STORE_ATTR_INSTANCE_VALUE | 29,031,007 | 3.9% |

|Successors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 365,035,194 | 48.7% |
| LOAD_FAST_LOAD_FAST | 263,158,199 | 35.1% |
| NOP | 48,836,387 | 6.5% |
| LOAD_GLOBAL_BUILTIN | 27,102,418 | 3.6% |
| LOAD_GLOBAL_MODULE | 15,110,426 | 2.0% |


</details>

### POP_TOP

<details>
<summary> Successors and predecessors for POP_TOP </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| RETURN_CONST | 744,695,329 | 24.9% |
| RESUME_CHECK | 562,911,939 | 18.8% |
| CALL_BUILTIN_O | 312,321,358 | 10.4% |
| CALL_METHOD_DESCRIPTOR_O | 273,959,301 | 9.2% |
| SEND_GEN | 175,773,831 | 5.9% |

|Successors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 1,057,616,458 | 35.4% |
| ENTER_EXECUTOR | 809,049,083 | 27.0% |
| RESUME_CHECK | 359,088,145 | 12.0% |
| RETURN_CONST | 307,301,557 | 10.3% |
| LOAD_CONST | 147,498,165 | 4.9% |


</details>

### PUSH_NULL

<details>
<summary> Successors and predecessors for PUSH_NULL </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 501,078,124 | 43.3% |
| LOAD_ATTR_MODULE | 444,437,351 | 38.4% |
| LOAD_DEREF | 71,957,271 | 6.2% |
| LOAD_ATTR | 61,919,917 | 5.4% |
| LOAD_FAST_LOAD_FAST | 31,477,020 | 2.7% |

|Successors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 497,327,816 | 43.0% |
| LOAD_FAST_LOAD_FAST | 349,926,613 | 30.3% |
| LOAD_CONST | 126,121,599 | 10.9% |
| CALL | 122,035,611 | 10.6% |
| LOAD_GLOBAL_MODULE | 36,659,942 | 3.2% |


</details>

### RETURN_VALUE

<details>
<summary> Successors and predecessors for RETURN_VALUE </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 994,155,980 | 30.6% |
| RETURN_VALUE | 439,880,213 | 13.5% |
| BUILD_TUPLE | 350,375,271 | 10.8% |
| LOAD_ATTR_INSTANCE_VALUE | 272,775,695 | 8.4% |
| COMPARE_OP_FLOAT | 191,403,513 | 5.9% |

|Successors | Count | Percentage | 
|---|---:|---:|
| STORE_FAST | 764,185,045 | 23.5% |
| INTERPRETER_EXIT | 594,815,160 | 18.3% |
| RETURN_VALUE | 439,880,213 | 13.5% |
| TO_BOOL_BOOL | 329,990,062 | 10.2% |
| UNPACK_SEQUENCE_TUPLE | 205,269,821 | 6.3% |


</details>

### STORE_SUBSCR

<details>
<summary> Successors and predecessors for STORE_SUBSCR </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 65,410,671 | 57.3% |
| SWAP | 24,303,760 | 21.3% |
| LOAD_CONST | 6,716,240 | 5.9% |
| BUILD_TUPLE | 6,380,640 | 5.6% |
| RETURN_VALUE | 5,762,420 | 5.0% |

|Successors | Count | Percentage | 
|---|---:|---:|
| ENTER_EXECUTOR | 30,687,340 | 26.9% |
| LOAD_GLOBAL_BUILTIN | 27,003,020 | 23.6% |
| LOAD_FAST | 23,090,516 | 20.2% |
| LOAD_DEREF | 15,741,060 | 13.8% |
| JUMP_FORWARD | 8,477,220 | 7.4% |


</details>

### TO_BOOL

<details>
<summary> Successors and predecessors for TO_BOOL </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 206,108,401 | 70.6% |
| LOAD_ATTR_INSTANCE_VALUE | 79,833,751 | 27.3% |
| COPY | 1,367,745 | 0.5% |
| BINARY_SUBSCR_TUPLE_INT | 1,320,120 | 0.5% |
| LOAD_ATTR_SLOT | 1,064,940 | 0.4% |

|Successors | Count | Percentage | 
|---|---:|---:|
| POP_JUMP_IF_TRUE | 180,904,416 | 61.9% |
| POP_JUMP_IF_FALSE | 110,726,459 | 37.9% |
| TO_BOOL | 228,752 | 0.1% |
| EXTENDED_ARG | 71,485 | 0.0% |
| TO_BOOL_NONE | 56,695 | 0.0% |


</details>

### BINARY_OP

<details>
<summary> Successors and predecessors for BINARY_OP </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 128,076,926 | 25.6% |
| LOAD_CONST | 80,791,427 | 16.1% |
| CALL_METHOD_DESCRIPTOR_O | 72,001,420 | 14.4% |
| LOAD_ATTR_INSTANCE_VALUE | 40,076,500 | 8.0% |
| LOAD_FAST_LOAD_FAST | 39,268,769 | 7.8% |

|Successors | Count | Percentage | 
|---|---:|---:|
| STORE_FAST | 123,408,035 | 24.7% |
| LOAD_FAST_LOAD_FAST | 92,220,449 | 18.4% |
| LOAD_FAST | 61,017,449 | 12.2% |
| LOAD_CONST | 37,944,184 | 7.6% |
| SWAP | 28,824,034 | 5.8% |


</details>

### BUILD_LIST

<details>
<summary> Successors and predecessors for BUILD_LIST </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| STORE_FAST | 95,167,558 | 41.7% |
| LOAD_FAST | 34,604,473 | 15.2% |
| LOAD_ATTR_SLOT | 26,272,132 | 11.5% |
| RESUME_CHECK | 12,736,140 | 5.6% |
| SWAP | 12,221,664 | 5.4% |

|Successors | Count | Percentage | 
|---|---:|---:|
| STORE_FAST | 109,644,713 | 48.0% |
| LOAD_FAST | 74,246,203 | 32.5% |
| SWAP | 12,237,170 | 5.4% |
| RETURN_VALUE | 6,325,109 | 2.8% |
| STORE_DEREF | 4,508,366 | 2.0% |


</details>

### BUILD_MAP

<details>
<summary> Successors and predecessors for BUILD_MAP </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 19,428,003 | 25.7% |
| STORE_FAST | 12,397,218 | 16.4% |
| RESUME_CHECK | 7,876,210 | 10.4% |
| CALL_INTRINSIC_1 | 5,652,226 | 7.5% |
| SWAP | 5,581,640 | 7.4% |

|Successors | Count | Percentage | 
|---|---:|---:|
| STORE_FAST | 28,537,336 | 37.8% |
| LOAD_FAST | 19,571,642 | 25.9% |
| CALL_FUNCTION_EX | 13,026,373 | 17.3% |
| SWAP | 5,581,640 | 7.4% |
| CALL_BUILTIN_FAST | 4,322,400 | 5.7% |


</details>

### BUILD_TUPLE

<details>
<summary> Successors and predecessors for BUILD_TUPLE </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 192,498,777 | 33.0% |
| LOAD_FAST_LOAD_FAST | 125,149,748 | 21.5% |
| LOAD_CONST | 112,953,677 | 19.4% |
| CALL | 37,579,268 | 6.5% |
| LOAD_GLOBAL_BUILTIN | 27,719,472 | 4.8% |

|Successors | Count | Percentage | 
|---|---:|---:|
| RETURN_VALUE | 350,375,271 | 60.2% |
| LOAD_CONST | 67,702,821 | 11.6% |
| YIELD_VALUE | 29,315,740 | 5.0% |
| CALL_ISINSTANCE | 28,984,112 | 5.0% |
| BINARY_SUBSCR_GETITEM | 23,049,900 | 4.0% |


</details>

### CALL

<details>
<summary> Successors and predecessors for CALL </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 304,467,870 | 30.1% |
| LOAD_FAST_LOAD_FAST | 144,843,027 | 14.3% |
| PUSH_NULL | 122,035,611 | 12.1% |
| LOAD_ATTR | 84,071,227 | 8.3% |
| ENTER_EXECUTOR | 75,489,592 | 7.5% |

|Successors | Count | Percentage | 
|---|---:|---:|
| STORE_FAST | 366,308,226 | 36.3% |
| RESUME_CHECK | 218,894,801 | 21.7% |
| POP_TOP | 92,433,620 | 9.1% |
| RETURN_VALUE | 48,330,650 | 4.8% |
| LOAD_GLOBAL_MODULE | 47,448,264 | 4.7% |


</details>

### CALL_FUNCTION_EX

<details>
<summary> Successors and predecessors for CALL_FUNCTION_EX </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| ENTER_EXECUTOR | 72,359,424 | 47.4% |
| CALL_INTRINSIC_1 | 29,843,833 | 19.5% |
| LOAD_FAST | 18,500,247 | 12.1% |
| DICT_MERGE | 14,398,148 | 9.4% |
| BUILD_MAP | 13,026,373 | 8.5% |

|Successors | Count | Percentage | 
|---|---:|---:|
| POP_TOP | 107,738,438 | 70.6% |
| STORE_FAST | 18,449,693 | 12.1% |
| MAKE_CELL | 6,925,326 | 4.5% |
| RESUME_CHECK | 6,893,257 | 4.5% |
| RETURN_VALUE | 5,938,154 | 3.9% |


</details>

### CALL_INTRINSIC_1

<details>
<summary> Successors and predecessors for CALL_INTRINSIC_1 </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 88,136,760 | 61.6% |
| LIST_EXTEND | 48,947,772 | 34.2% |
| LOAD_ATTR_INSTANCE_VALUE | 6,000,000 | 4.2% |
| LIST_APPEND | 11,520 | 0.0% |
| RERAISE | 10,201 | 0.0% |

|Successors | Count | Percentage | 
|---|---:|---:|
| YIELD_VALUE | 94,136,760 | 65.8% |
| CALL_FUNCTION_EX | 29,843,833 | 20.9% |
| LOAD_CONST | 13,438,573 | 9.4% |
| BUILD_MAP | 5,652,226 | 3.9% |
| LOAD_FAST | 20,760 | 0.0% |


</details>

### CALL_KW

<details>
<summary> Successors and predecessors for CALL_KW </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_CONST | 181,083,966 | 83.0% |
| ENTER_EXECUTOR | 37,165,513 | 17.0% |

|Successors | Count | Percentage | 
|---|---:|---:|
| RESUME_CHECK | 100,260,352 | 45.9% |
| RETURN_VALUE | 51,526,222 | 23.6% |
| STORE_FAST | 45,811,304 | 21.0% |
| POP_TOP | 9,929,341 | 4.5% |
| STORE_DEREF | 4,481,160 | 2.1% |


</details>

### COMPARE_OP

<details>
<summary> Successors and predecessors for COMPARE_OP </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_CONST | 36,629,969 | 43.2% |
| LOAD_FAST | 14,393,080 | 17.0% |
| LOAD_ATTR | 12,092,649 | 14.3% |
| LOAD_FAST_LOAD_FAST | 5,299,200 | 6.3% |
| BINARY_SUBSCR_TUPLE_INT | 4,839,540 | 5.7% |

|Successors | Count | Percentage | 
|---|---:|---:|
| POP_JUMP_IF_FALSE | 72,173,240 | 85.2% |
| POP_JUMP_IF_TRUE | 11,191,617 | 13.2% |
| RETURN_VALUE | 784,800 | 0.9% |
| COPY | 313,020 | 0.4% |
| STORE_FAST | 188,040 | 0.2% |


</details>

### CONTAINS_OP

<details>
<summary> Successors and predecessors for CONTAINS_OP </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 207,430,202 | 27.8% |
| LOAD_FAST_LOAD_FAST | 206,654,040 | 27.7% |
| LOAD_GLOBAL_MODULE | 202,367,878 | 27.1% |
| BINARY_SUBSCR_DICT | 58,126,620 | 7.8% |
| LOAD_ATTR_INSTANCE_VALUE | 34,477,143 | 4.6% |

|Successors | Count | Percentage | 
|---|---:|---:|
| POP_JUMP_IF_FALSE | 644,111,677 | 86.3% |
| POP_JUMP_IF_TRUE | 51,674,281 | 6.9% |
| RETURN_VALUE | 23,627,760 | 3.2% |
| COPY | 22,336,681 | 3.0% |
| EXTENDED_ARG | 2,533,860 | 0.3% |


</details>

### COPY

<details>
<summary> Successors and predecessors for COPY </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 184,379,890 | 35.0% |
| SWAP | 83,066,323 | 15.8% |
| COPY | 53,336,483 | 10.1% |
| LOAD_ATTR_INSTANCE_VALUE | 48,270,947 | 9.2% |
| CALL_BUILTIN_FAST | 27,589,229 | 5.2% |

|Successors | Count | Percentage | 
|---|---:|---:|
| TO_BOOL_BOOL | 160,570,397 | 30.5% |
| COMPARE_OP_INT | 81,956,021 | 15.6% |
| LOAD_ATTR_INSTANCE_VALUE | 72,761,707 | 13.8% |
| COPY | 53,336,483 | 10.1% |
| LOAD_ATTR_SLOT | 33,287,992 | 6.3% |


</details>

### COPY_FREE_VARS

<details>
<summary> Successors and predecessors for COPY_FREE_VARS </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| CALL_PY_EXACT_ARGS | 93,119,078 | 37.0% |
| CACHE | 72,315,435 | 28.7% |
| CALL | 34,173,394 | 13.6% |
| CALL_BOUND_METHOD_EXACT_ARGS | 26,279,931 | 10.4% |
| ENTER_EXECUTOR | 16,276,660 | 6.5% |

|Successors | Count | Percentage | 
|---|---:|---:|
| RESUME_CHECK | 178,793,005 | 71.0% |
| RETURN_GENERATOR | 72,873,202 | 29.0% |
| MAKE_CELL | 20,640 | 0.0% |
| RESUME | 66 | 0.0% |


</details>

### ENTER_EXECUTOR

<details>
<summary> Successors and predecessors for ENTER_EXECUTOR </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| POP_TOP | 809,049,083 | 44.2% |
| POP_JUMP_IF_TRUE | 329,911,180 | 18.0% |
| POP_JUMP_IF_FALSE | 176,406,936 | 9.6% |
| STORE_FAST | 127,399,792 | 7.0% |
| CALL_LIST_APPEND | 112,189,107 | 6.1% |

|Successors | Count | Percentage | 
|---|---:|---:|
| YIELD_VALUE | 289,395,690 | 15.8% |
| FOR_ITER_LIST | 208,083,950 | 11.4% |
| LOAD_FAST | 156,739,477 | 8.6% |
| FOR_ITER_TUPLE | 116,801,865 | 6.4% |
| LOAD_GLOBAL_BUILTIN | 101,596,301 | 5.6% |


</details>

### EXTENDED_ARG

<details>
<summary> Successors and predecessors for EXTENDED_ARG </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| TO_BOOL_BOOL | 74,206,280 | 47.8% |
| IS_OP | 18,133,420 | 11.7% |
| JUMP_BACKWARD | 17,199,961 | 11.1% |
| ENTER_EXECUTOR | 14,976,020 | 9.7% |
| POP_TOP | 9,626,560 | 6.2% |

|Successors | Count | Percentage | 
|---|---:|---:|
| POP_JUMP_IF_FALSE | 97,214,899 | 62.7% |
| FOR_ITER_GEN | 26,083,980 | 16.8% |
| JUMP_FORWARD | 8,638,440 | 5.6% |
| POP_JUMP_IF_NOT_NONE | 7,255,720 | 4.7% |
| FOR_ITER_LIST | 6,866,280 | 4.4% |


</details>

### FOR_ITER

<details>
<summary> Successors and predecessors for FOR_ITER </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| GET_ITER | 49,596,515 | 80.3% |
| SWAP | 6,180,051 | 10.0% |
| LOAD_FAST | 3,097,946 | 5.0% |
| EXTENDED_ARG | 2,841,202 | 4.6% |
| FOR_ITER | 26,616 | 0.0% |

|Successors | Count | Percentage | 
|---|---:|---:|
| UNPACK_SEQUENCE_TWO_TUPLE | 25,443,622 | 41.2% |
| STORE_FAST | 17,461,637 | 28.3% |
| LOAD_FAST | 15,323,863 | 24.8% |
| RETURN_CONST | 1,459,669 | 2.4% |
| STORE_FAST_LOAD_FAST | 943,461 | 1.5% |


</details>

### IS_OP

<details>
<summary> Successors and predecessors for IS_OP </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_GLOBAL_MODULE | 178,702,669 | 29.6% |
| LOAD_FAST_LOAD_FAST | 168,593,741 | 27.9% |
| LOAD_ATTR | 162,175,142 | 26.8% |
| LOAD_GLOBAL_BUILTIN | 46,010,620 | 7.6% |
| LOAD_CONST | 38,099,758 | 6.3% |

|Successors | Count | Percentage | 
|---|---:|---:|
| POP_JUMP_IF_FALSE | 483,315,290 | 80.0% |
| POP_JUMP_IF_TRUE | 57,182,102 | 9.5% |
| RETURN_VALUE | 30,519,450 | 5.1% |
| EXTENDED_ARG | 18,133,420 | 3.0% |
| STORE_FAST | 12,049,662 | 2.0% |


</details>

### JUMP_BACKWARD

<details>
<summary> Successors and predecessors for JUMP_BACKWARD </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| POP_TOP | 58,821,125 | 46.7% |
| STORE_FAST | 37,603,700 | 29.8% |
| POP_JUMP_IF_TRUE | 12,165,453 | 9.7% |
| STORE_ATTR_WITH_HINT | 5,236,300 | 4.2% |
| EXTENDED_ARG | 4,828,065 | 3.8% |

|Successors | Count | Percentage | 
|---|---:|---:|
| FOR_ITER_GEN | 86,681,742 | 68.8% |
| FOR_ITER_LIST | 19,142,484 | 15.2% |
| EXTENDED_ARG | 17,199,961 | 13.7% |
| FOR_ITER_RANGE | 1,424,122 | 1.1% |
| LOAD_GLOBAL_BUILTIN | 1,314,160 | 1.0% |


</details>

### JUMP_FORWARD

<details>
<summary> Successors and predecessors for JUMP_FORWARD </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| STORE_FAST | 219,001,667 | 50.7% |
| POP_JUMP_IF_FALSE | 99,930,478 | 23.1% |
| POP_TOP | 48,138,978 | 11.1% |
| CALL_LIST_APPEND | 9,621,940 | 2.2% |
| STORE_ATTR_INSTANCE_VALUE | 9,032,325 | 2.1% |

|Successors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 173,829,772 | 40.2% |
| LOAD_FAST_LOAD_FAST | 91,462,874 | 21.2% |
| LOAD_CONST | 38,657,221 | 8.9% |
| LOAD_DEREF | 34,661,280 | 8.0% |
| LOAD_GLOBAL_BUILTIN | 28,771,845 | 6.7% |


</details>

### LIST_EXTEND

<details>
<summary> Successors and predecessors for LIST_EXTEND </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_ATTR_SLOT | 25,103,212 | 50.3% |
| LOAD_FAST | 23,866,123 | 47.8% |
| LOAD_CONST | 711,540 | 1.4% |
| RETURN_VALUE | 106,479 | 0.2% |
| LOAD_DEREF | 77,468 | 0.2% |

|Successors | Count | Percentage | 
|---|---:|---:|
| CALL_INTRINSIC_1 | 48,947,772 | 98.1% |
| STORE_FAST | 472,231 | 0.9% |
| UNPACK_SEQUENCE_LIST | 345,120 | 0.7% |
| LOAD_FAST | 132,099 | 0.3% |
| BUILD_TUPLE | 2,940 | 0.0% |


</details>

### LOAD_ATTR

<details>
<summary> Successors and predecessors for LOAD_ATTR </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 750,539,443 | 67.5% |
| LOAD_GLOBAL_BUILTIN | 172,047,108 | 15.5% |
| LOAD_GLOBAL_MODULE | 73,538,254 | 6.6% |
| LOAD_ATTR_SLOT | 67,734,646 | 6.1% |
| LOAD_ATTR_INSTANCE_VALUE | 20,768,431 | 1.9% |

|Successors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 172,614,114 | 15.5% |
| STORE_FAST | 171,066,081 | 15.4% |
| CALL_METHOD_DESCRIPTOR_NOARGS | 163,593,409 | 14.7% |
| IS_OP | 162,175,142 | 14.6% |
| CALL | 84,071,227 | 7.6% |


</details>

### LOAD_CONST

<details>
<summary> Successors and predecessors for LOAD_CONST </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 1,786,357,467 | 33.2% |
| LOAD_CONST | 506,757,323 | 9.4% |
| POP_JUMP_IF_FALSE | 321,597,028 | 6.0% |
| LOAD_FAST_LOAD_FAST | 285,993,747 | 5.3% |
| STORE_ATTR_SLOT | 231,598,736 | 4.3% |

|Successors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 953,474,631 | 17.7% |
| BINARY_OP_ADD_INT | 507,839,404 | 9.4% |
| LOAD_CONST | 506,757,323 | 9.4% |
| STORE_FAST | 475,780,178 | 8.8% |
| COMPARE_OP_INT | 470,172,332 | 8.7% |


</details>

### LOAD_DEREF

<details>
<summary> Successors and predecessors for LOAD_DEREF </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| STORE_FAST | 82,659,383 | 13.8% |
| LOAD_GLOBAL_BUILTIN | 62,321,265 | 10.4% |
| RESUME_CHECK | 61,840,010 | 10.3% |
| POP_JUMP_IF_FALSE | 61,494,467 | 10.3% |
| CALL_BUILTIN_FAST_WITH_KEYWORDS | 46,765,400 | 7.8% |

|Successors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 217,777,194 | 36.4% |
| LOAD_CONST | 88,766,425 | 14.8% |
| PUSH_NULL | 71,957,271 | 12.0% |
| LOAD_ATTR_METHOD_NO_DICT | 32,509,001 | 5.4% |
| COMPARE_OP_INT | 30,265,327 | 5.1% |


</details>

### LOAD_FAST

<details>
<summary> Successors and predecessors for LOAD_FAST </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| POP_JUMP_IF_FALSE | 3,071,633,748 | 14.3% |
| STORE_FAST | 3,023,965,106 | 14.1% |
| RESUME_CHECK | 2,458,937,843 | 11.5% |
| LOAD_GLOBAL_BUILTIN | 2,023,346,144 | 9.4% |
| POP_TOP | 1,057,616,458 | 4.9% |

|Successors | Count | Percentage | 
|---|---:|---:|
| LOAD_ATTR_INSTANCE_VALUE | 3,432,432,861 | 16.0% |
| LOAD_CONST | 1,786,357,467 | 8.3% |
| LOAD_ATTR_METHOD_WITH_VALUES | 1,407,040,891 | 6.6% |
| LOAD_ATTR_SLOT | 1,366,293,591 | 6.4% |
| RETURN_VALUE | 994,155,980 | 4.6% |


</details>

### LOAD_FAST_CHECK

<details>
<summary> Successors and predecessors for LOAD_FAST_CHECK </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| POP_JUMP_IF_FALSE | 3,453,480 | 53.1% |
| POP_JUMP_IF_NONE | 1,133,019 | 17.4% |
| POP_TOP | 825,777 | 12.7% |
| STORE_FAST | 331,680 | 5.1% |
| LOAD_ATTR_METHOD_NO_DICT | 271,425 | 4.2% |

|Successors | Count | Percentage | 
|---|---:|---:|
| LOAD_ATTR_METHOD_NO_DICT | 3,578,800 | 55.0% |
| LOAD_FAST | 1,420,920 | 21.8% |
| UNPACK_SEQUENCE_TWO_TUPLE | 816,000 | 12.5% |
| CALL_METHOD_DESCRIPTOR_O | 271,305 | 4.2% |
| LOAD_GLOBAL_MODULE | 95,099 | 1.5% |


</details>

### LOAD_FAST_LOAD_FAST

<details>
<summary> Successors and predecessors for LOAD_FAST_LOAD_FAST </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| STORE_FAST | 581,017,713 | 12.1% |
| POP_JUMP_IF_FALSE | 410,483,548 | 8.5% |
| LOAD_FAST_LOAD_FAST | 405,812,473 | 8.5% |
| LOAD_ATTR_METHOD_WITH_VALUES | 379,379,455 | 7.9% |
| LOAD_GLOBAL_MODULE | 375,994,142 | 7.8% |

|Successors | Count | Percentage | 
|---|---:|---:|
| STORE_ATTR_SLOT | 546,016,810 | 11.4% |
| LOAD_FAST | 481,566,315 | 10.0% |
| CALL_PY_EXACT_ARGS | 423,091,783 | 8.8% |
| LOAD_FAST_LOAD_FAST | 405,812,473 | 8.5% |
| BINARY_SUBSCR_STR_INT | 308,022,180 | 6.4% |


</details>

### LOAD_GLOBAL

<details>
<summary> Successors and predecessors for LOAD_GLOBAL </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| INSTRUMENTED_POP_JUMP_IF_FALSE | 14,570,400 | 99.3% |
| STORE_FAST | 21,196 | 0.1% |
| RESUME_CHECK | 11,889 | 0.1% |
| INSTRUMENTED_RESUME | 10,560 | 0.1% |
| POP_TOP | 7,077 | 0.0% |

|Successors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 14,580,801 | 99.3% |
| LOAD_GLOBAL_MODULE | 58,026 | 0.4% |
| LOAD_GLOBAL_BUILTIN | 22,274 | 0.2% |
| LOAD_ATTR_MODULE | 11,900 | 0.1% |
| LOAD_FAST_LOAD_FAST | 2,889 | 0.0% |


</details>

### LOAD_SUPER_ATTR

<details>
<summary> Successors and predecessors for LOAD_SUPER_ATTR </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 3,740 | 96.9% |
| EXTENDED_ARG | 60 | 1.6% |
| LOAD_DEREF | 60 | 1.6% |

|Successors | Count | Percentage | 
|---|---:|---:|
| LOAD_SUPER_ATTR_METHOD | 3,700 | 95.9% |
| LOAD_SUPER_ATTR_ATTR | 160 | 4.1% |


</details>

### POP_JUMP_IF_FALSE

<details>
<summary> Successors and predecessors for POP_JUMP_IF_FALSE </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| TO_BOOL_BOOL | 2,344,003,260 | 40.8% |
| COMPARE_OP_INT | 986,846,229 | 17.2% |
| CONTAINS_OP | 644,111,677 | 11.2% |
| IS_OP | 483,315,290 | 8.4% |
| TO_BOOL_NONE | 452,619,961 | 7.9% |

|Successors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 3,071,633,748 | 53.5% |
| LOAD_GLOBAL_BUILTIN | 581,407,798 | 10.1% |
| RETURN_CONST | 441,482,986 | 7.7% |
| LOAD_FAST_LOAD_FAST | 410,483,548 | 7.1% |
| LOAD_CONST | 321,597,028 | 5.6% |


</details>

### POP_JUMP_IF_NONE

<details>
<summary> Successors and predecessors for POP_JUMP_IF_NONE </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 269,559,767 | 79.3% |
| LOAD_ATTR_INSTANCE_VALUE | 44,087,787 | 13.0% |
| LOAD_DEREF | 19,670,605 | 5.8% |
| LOAD_GLOBAL_MODULE | 3,852,600 | 1.1% |
| LOAD_ATTR_SLOT | 1,306,440 | 0.4% |

|Successors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 223,768,286 | 65.8% |
| LOAD_DEREF | 46,409,599 | 13.6% |
| ENTER_EXECUTOR | 26,848,888 | 7.9% |
| LOAD_GLOBAL_BUILTIN | 13,049,722 | 3.8% |
| LOAD_CONST | 7,026,639 | 2.1% |


</details>

### POP_JUMP_IF_NOT_NONE

<details>
<summary> Successors and predecessors for POP_JUMP_IF_NOT_NONE </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 532,926,648 | 82.4% |
| LOAD_ATTR_INSTANCE_VALUE | 88,856,955 | 13.7% |
